,Article Title,Category
42,"Bayern's Bundesliga dominance sparks reform calls



Bayern Munich's decade of dominance in the Bundesliga has fuelled calls for reforms to make the German top flight more exciting, with even end-of-season play-offs being suggested as a possible solution.",Sport
43,"Bayern Munich win record 10th consecutive Bundesliga



Bayern Munich completed a decade of domestic dominance by beating main rival Borussia Dortmund 3-1 to seal a record-extending 10th consecutive Bundesliga title on Saturday.",Sport
44,"Inter beat Roma 3-1 on miserable return for Mourinho



Defending champion Inter Milan gave a signal of intent as it crushed Roma 3-1 to move on top of Serie A on a miserable return to San Siro for former coach Jose Mourinho on Saturday.",Sport
45,"Jesus scores four as leaders Man City crush Watford



Pep Guardiola saluted ""fantastic"" Gabriel Jesus after the Brazilian scored four times as Manchester City crushed Watford 5-1 to move four points clear at the top of the Premier League on Saturday.",Sport
46,"Arsenal see off sorry Man Utd to take control of top-four battle



A VAR review found the England under-21 international offside, but Saka was fouled by Alex Telles as he played the ball into Nketiah's path.",Sport
47,"Tuchel aims to restore Chelsea's home comforts



Thomas Tuchel admits he is surprised by Chelsea's ""fragile"" home form as the Blues boss tries to make Stamford Bridge a fortress in time to preserve their Premier League top-four place.",Sport
48,"Klopp 'never expected' Liverpool's quadruple bid



Jurgen Klopp admits he never expected Liverpool to get so close to winning an unprecedented quadruple as they prepare for Sunday's Merseyside derby against Everton.",Sport
49,"Injured Pogba might have played last game for Man United



Paul Pogba might have played his last game for Manchester United.",Sport
50,"PSG a point away from 10th French title as Champions League fight heats up



Kylian Mbappe and Paris Saint-Germain are poised to clinch the Ligue 1 title this weekend when they require just a point at home to Lens, but behind them the race for France's other Champions League places is intensifying.",Sport
51,"Spain La Liga results & scorers (33rd matchday)



Follow Ahram Online's coverage of Spain La Liga matches of the 2021/2022 season (19/21 April)",Sport
52,"English Premier League results & scorers (30th matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (18 March /21 April)",Sport
53,"Head of Spanish federation changes salary after leaked audio



After being widely criticized around the country, the president of the Spanish soccer federation said Thursday he will remove the salary bonus variables he earned when Barcelona and Real Madrid succeeded.",Sport
54,"Man United captain Maguire receives bomb threat



Harry Maguire's house was checked by police on Thursday after the Manchester United captain received a bomb threat.",Sport
55,"Frappart named as first woman to referee French Cup final



Stephanie Frappart will make history when she becomes the first woman to referee the men's French Cup final, after being handed the game by the French Football Federation (FFF) on Thursday.",Sport
56,"Ronaldo thanks Liverpool fans for show of 'compassion'



Cristiano Ronaldo expressed his gratitude to Liverpool fans for their show of support after his newborn baby son died.",Sport
57,"Ten Hag's to-do list to revive Man Utd fortunes



Erik ten Hag will become Manchester United manager next season, tasked with turning around nearly a decade of decline since legendary former manager Alex Ferguson retired.",Sport
58,"Spanish judge lifts protection for Super League clubs



A Spanish court has lifted measures that shielded the clubs that want to create a European Super League competition from being punished by UEFA and FIFA.",Sport
59,"Ten Hag accepts his toughest challenge as Man Utd manager



Erik Ten Hag has never shied away from a challenge, but the biggest task of the Dutchman's coaching career awaits after accepting the role of Manchester United manager.",Sport
60,"Preview: Barcelona tries to regain 2nd; Burnley-Southampton



A look at what's happening in European soccer on Thursday:",Sport
61,"Real Madrid win again despite Benzema's missed penalty kicks



Not even an off-day for Karim Benzema was enough to keep Real Madrid from moving closer to clinching the Spanish league title.",Sport
62,"Nketiah double sinks Chelsea as Arsenal boost top-four bid



Eddie Nketiah boosted Arsenal's bid for a top-four finish in the Premier League as the striker's double inspired a dramatic 4-2 win against Chelsea on Wednesday.",Sport
63,"Atletico top-four bid knocked by Granada stalemate



Atletico Madrid were left frustrated by a goalless draw with Granada on Wednesday as Diego Simeone’s side missed the chance to pull away in the race for La Liga’s top four.",Sport
64,"Man Utd clearout begins with top scouts



Manchester United chief scout Jim Lawlor and head of global scouting Marcel Bout have left the club ahead of what is expected to be a busy summer in the transfer market.",Sport
65,"In leaked audio, Pique asks for help to play at Olympics



Gerard Pique asked for help from the president of the Spanish soccer federation to play at the Tokyo Olympics, audio stolen from the federation revealed Wednesday.",Sport
66,"Rangnick exposes Manchester United rebuilding task after Anfield misery



The remaining Manchester United fans inside Anfield were chanting for the club's owners to sell up when the coaches and players were already back inside analyzing their failings in a 4-0 humiliation by Liverpool.",Sport
67,"Brazil, Argentina to play in Australia ahead of World Cup



Argentina and Brazil will play a June 11 friendly in Australia and officials from both teams will be hoping there is a proper conclusion this time.",Sport
68,"Fulham promoted back to the Premier League



Fulham were promoted back to the Premier League on Tuesday with four games to spare as Aleksandar Mitrovic scored twice in a 3-0 win over Preston at Craven Cottage.",Sport
69,"Liverpool fans show support for grieving Ronaldo



Liverpool fans put rivalry with Manchester United aside to show support to Cristiano Ronaldo on Tuesday, a day after the Portuguese star revealed his newborn baby son had died.",Sport
70,"Arteta urges Lacazette to stay focused amid talk of Arsenal exit



Mikel Arteta has urged Alexandre Lacazette to keep his focus on Arsenal's bid for a top-four finish after the French striker revealed he is in talks about a move away from the Emirates Stadium.",Sport
71,"Guardiola refuses to answer reports of Man City move for Haaland



Pep Guardiola has refused to respond to reports that Manchester City are close to completing a blockbuster deal for Borussia Dortmund striker Erling Haaland.",Sport
72,"'Sooner the better' - PSG hope to wrap up title but Messi misses out



Mauricio Pochettino is hoping Paris Saint-Germain can clinch the Ligue 1 title on Wednesday despite being without the injured Lionel Messi, as the Argentine coach batted away questions about his future in the French capital beyond this season.",Sport
73,"United's Ronaldo to miss Liverpool clash after baby son's death



Cristiano Ronaldo will miss Manchester United's Premier League clash at Liverpool on Tuesday as the Portugal star mourns the death of his new-born son.",Sport
74,"Wayne Rooney unsure of his future after Derby's relegation



Derby County, managed by England and Manchester United great Wayne Rooney, was relegated to the third tier of English soccer on Monday to cap a miserable season that also saw the club docked 21 points for breaches of financial rules.",Sport
75,"Barcelona stunned by Cadiz in match marked by fans' protest



Barcelona's slim hopes for the Spanish league title all but ended after losing to Cadiz 1-0 at home on Monday in a match marked by protesting fans.",Sport
76,"Italy Serie A results & scorers (33rd matchday)



Follow Ahram Online's coverage of Italy Serie A matches of the 2021/2022 season (15/18 April)",Sport
77,"Spain La Liga results & scorers(32nd matchday)



Follow Ahram Online's coverage of Spain La Liga matches of the 2021/2022 season (15/18 April)",Sport
78,"El Shaarawy strikes to dent Napoli's title hopes



Napoli's bid for a first Serie A title in 32 years suffered a massive setback on Monday as Stephan El Shaarawy's injury-time equaliser snatched a 1-1 draw for Roma.",Sport
79,"Wayne Rooney's Derby relegated to 3rd tier of English soccer



Derby County, managed by England and Manchester United great Wayne Rooney, was relegated to the third tier of English soccer on Monday to cap a miserable season that also saw the club docked 21 points for breaches of financial rules.",Sport
80,"Bahrain confirms firm's talks to buy AC Milan for $1.1B



Bahrain's government announced that a private equity firm based in the country is in ""exclusive talks'' to buy seven-time European champion AC Milan and become the Italian league's first Middle East investor.",Sport
81,"Leaked audios reveal deal between Pique, Spanish federation to take Spanish Super Cup to Saudi Arabia



Audios stolen from the Spanish soccer federation by hackers revealed Barcelona defender Gerard Pique helped to negotiate a 24 million euros ($25.9 million) commission to take the Spanish Super Cup to Saudi Arabia.",Sport
82,"Fernandes fit to face Liverpool despite car crash



Bruno Fernandes will be fit for Manchester United's Premier League trip to Liverpool despite being involved in a minor car crash on Monday.",Sport
83,"Quadruple quest piles pressure on Liverpool, says Van Dijk



Virgil van Dijk says talk of a historic quadruple for Liverpool belongs to the ""outside world"" and risks putting extra pressure on the Dutchman and his teammates.",Sport
84,"Benzema the hero as Real Madrid battle back again to stun Sevilla



Karim Benzema completed another incredible Real Madrid comeback on Sunday as they fought from two goals down to defeat Sevilla 3-2 in La Liga.",Sport
85,"Germany Bundesliga results & scorers (30th matchday)



Follow Ahram Online's coverage of Germany Bundesliga matches of the 2021/2022 season (16/17 April)",Sport
86,"Bayern Munich one win from 10th straight Bundesliga title



Bayern Munich can secure a 10th straight Bundesliga title next weekend after they bounced back from their Champions League exit with a 3-0 win at Arminia Bielefeld on Sunday.",Sport
87,"Chelsea's Loftus-Cheek eyes Liverpool revenge in FA Cup final



Ruben Loftus-Cheek said Chelsea have their sights set on revenge over Liverpool in the FA Cup final after the midfielder's goal inspired a 2-0 win against Crystal Palace on Sunday.",Sport
88,"Chelsea sink Palace to book FA Cup final clash with Liverpool



Thomas Tuchel praised Chelsea's focus and composure as they beat Crystal Palace 2-0 on Sunday to earn an FA Cup final showdown with quadruple chasers Liverpool.",Sport
89,"Carrasco scores late penalty to see 10-man Atletico past Espanyol



Yannick Carrasco scored the winning penalty with the last kick of the game as 10-man Atletico Madrid scraped past Espanyol 2-1 on Sunday in what could prove a crucial victory in the race for La Liga's top four.",Sport
90,"English Premier League results & fixtures (33rd matchday)



Follow Ahram Online's coverage of English Prenier League matches of the 2021/2022 season (16 April /19 May)",Sport
91,"Nice lay down Delort in Champions League quest



Andy Delort headed in a late winner as Nice beat Lorient 2-1 in Ligue 1 on Sunday to revive their hopes of qualifying for next season's Champions League.",Sport
92,"Barcelona fans upset after influx of Eintracht fans at Camp Nou



Some Barcelona fans are expected to gather near the Camp Nou Stadium before the team's Spanish league match on Monday to protest against the influx of Eintracht Frankfurt supporters for their Europa League game last week.",Sport
93,"Rangnick fears for Manchester United defence against rampant Liverpool



Ralf Rangnick says Manchester United will be fortunate to even get a point against in-form Liverpool on Tuesday if they show the same defensive frailties they did in the 3-2 win over struggling Norwich.",Sport
94,"Preview: Chelsea faces Crystal Palace in FA Cup semis



Chelsea and Crystal Palace meet in the second FA Cup semifinal with the winner taking on Liverpool.",Sport
95,"Morata's bicycle kick helps Juventus draw with Bologna



A spectacular overhead kick from Alvaro Morata led to a stoppage-time equalizer for Juventus to draw with nine-man Bologna 1-1 in Serie A on Saturday.",Sport
96,"Quadruple-chasing Liverpool reach FA Cup final, ending Man City's treble bid



Liverpool reached the FA Cup final as Sadio Mane's double inspired a 3-2 win over Manchester City that kept alive their quadruple bid and shattered their rivals' treble hopes.",Sport
97,"Ronaldo hat-trick saves Manchester United, Tottenham, Arsenal slump to defeat



Cristiano Ronaldo scored a hat-trick as Manchester United claimed a 3-2 win over Norwich on Saturday to take advantage of defeats for Arsenal and Tottenham in the race for a place in next season's Champions League.",Sport
98,"Brighton stun Tottenham to dent Champions League charge



Brighton halted Tottenham's charge towards a place in next season's Champions League as Leandro Trossard struck in the 90th minute to secure a 1-0 win for the visitors on Saturday.",Sport
99,"Milan beat Genoa to maintain 2-point lead after Inter win



AC Milan maintained their lead in Serie A after beating relegation-threatened Genoa 2-0 on Friday while Inter Milan sealed a comfortable 3-1 win at Spezia.",Sport
100,"Italian FA court acquits all in transfer trickery trial



Some of Italian football's top figures could breath a sigh of relief on Friday after the country's football federation acquited everyone brought to its tribunal over suspicious transfer dealings.",Sport
101,"Arteta predicts more 'twists' in Premier League top-four race



Mikel Arteta believes both Arsenal and Southampton will be ""hurting"" ahead of the Premier League meeting between the sides at Saturday but predicted more ""twists"" in the race to finish in the top four.",Sport
102,"Nagelsmann gets death threats after Bayern's shock exit



Bayern Munich coach Julian Nagelsmann said Friday he had been subjected to online death threats after his team's surprise Champions League exit to Villarreal this week.",Sport
103,"Man City and Liverpool meet again, this time FA Cup semis



Liverpool is dreaming of a quadruple and Manchester City is targeting a treble.",Sport
104,"Barcelona's Pedri out after sustaining hamstring injury



Barcelona midfielder Pedri sustained a hamstring injury in his side's defeat by Eintracht Frankfurt in the Europa League quarter-finals, the Spanish club announced Friday.",Sport
105,"Chelsea's Tuchel apologises to Gallagher for FA Cup block



Thomas Tuchel revealed Friday he had apologised personally to Conor Gallagher after Chelsea blocked the England midfielder playing for Crystal Palace against the Blues in Sunday's FA Cup semi-final.",Sport
106,"Burnley fires Dyche in late bid to avoid relegation from EPL



The longest-serving manager in the Premier League was fired on Friday when Burnley got rid of Sean Dyche in a late-season gamble to avoid relegation from England's lucrative top flight.",Sport
107,"Marseille have eyes on European trophy and Champions League return



Marseille travel to face bitter rivals Paris Saint-Germain this weekend in buoyant mood as they target Champions League qualification and a European trophy to finish the season.",Sport
108,"Real Madrid look to send Sevilla into scrap for La Liga top four



Real Madrid against Sevilla on Sunday could have been a key game in La Liga's title race but instead it will decide the extent of Madrid's lead and how worried Sevilla should be about finishing in the top four.",Sport
109,"Frankfurt stun Barcelona to reach Europa League semis



Barcelona were dumped out of the Europa League on Thursday as Eintracht Frankfurt pulled off a shock 3-2 victory at Camp Nou to progress to the semi-finals.",Sport
110,"Leicester fight back to set up Conference League semi with Mourinho's Roma



Leicester battled back to beat PSV Eindhoven 2-1 on Thursday in the Europa Conference League to reach a European semi-final for the first time in their history, where they will face Jose Mourinho's Roma.",Sport
111,"Ukraine resumes World Cup qualification with June 1 playoff



Ukraine's bid to qualify for the Word Cup will resume on June 1 against Scotland after its playoff semifinal in Glasgow was postponed in March due to the country being invaded by Russia.",Sport
112,"Man Utd appoint consultants for Old Trafford redevelopment



Manchester United have appointed the architects behind the Tottenham Hotspur Stadium to draw up plans for a redevelopment of their ageing Old Trafford ground.",Sport
113,"Simeone aims dig at Guardiola after Atletico and City players scrap in tunnel



Diego Simeone aimed a thinly veiled dig at Pep Guardiola on a feisty and bad-tempered night at the Wanda Metropolitano on Wednesday, where Manchester City's advance to the semi-finals was overshadowed by a brawl on the pitch and in the tunnel.",Sport
114,"Eliminated by City, Atletico must ensure return to Champions



Despite being reduced to 10 men and stymied in attack, Atletico Madrid still had a last-gasp chance to send its ill-humored Champions League quarterfinal against Manchester City into extra time.",Sport
115,"Former Colombia captain Rincon dies at 55 after car crash



Freddy Rincon, a former captain of the Colombian national soccer team who played in three World Cups, has died after being injured in a car crash. He was 55.",Sport
116,"Iniesta in relegation mire as Spain legend's Japan move turns sour



Andres Iniesta won pretty much everything with Barcelona and Spain but the legendary midfielder risks seeing out the tail end of his glittering career in the mire of a relegation dogfight.",Sport
117,"Man City fend off Atletico, reach Champions League semis



Manchester City held Atletico Madrid to a 0-0 draw Wednesday to return to the Champions League semifinals and keep alive its hopes of winning Europe's top club competition for the first time.",Sport
118,"UEFA Champions League results & scorers (Quarterfinals, 2nd leg)



Follow Ahram Online's coverage of the 2021/2022 UEFA Champions League quarterfinals 2nd leg (12-13 April)",Sport
119,"Match facts: Atletico Madrid v Manchester City (UEFA Champions League)



Ahram Online provided a live score coverage of Wednesday's match Atletico Madrid and Manchester City in the 2nd leg of the UEFA Champions League Quarterfinals",Sport
120,"Kahn dismisses Lewandowski Bayern exit as 'nonsense'



Bayern Munich CEO Oliver Kahn has dismissed as ""nonsense"" reports that their top-scoring striker Robert Lewandowski could leave when the season finishes next month.",Sport
121,"Villarreal show that smaller is beautiful in the Champions League



At a time when a clique of super clubs has cemented its grip on the Champions League and the riches that go with it, Villarreal's surprise progress to the semi-finals of Europe's elite competition is to be savoured.",Sport
122,"Tuchel 'proud' of Chelsea despite Champions League heartbreak



Thomas Tuchel hailed his ""special team"" after Chelsea's reign as European champions came to an agonising end, with his task now to lift his players for a crucial FA Cup semi-final this weekend.",Sport
123,"Bayern Munich pick up the pieces after 'bitter' Champions League defeat



There were 70,000 at the Allianz Arena on Tuesday, but you could have heard a pin drop among home Bayern Munich fans when Villarreal equalised with two minutes left to dump the Germans out of the Champions League.",Sport
124,"FIFA takes on streaming companies with own soccer platform



FIFA is getting into the streaming platform business with a soccer version of Netflix and Amazon Prime.",Sport
125,"Benzema strikes again as Real Madrid fends off Chelsea comeback



Chelsea's title defense in the Champions League ended despite a 3-2 win against Real Madrid on Tuesday, with Karim Benzema spoiling the English team's comeback by scoring in extra time to put the Spanish powerhouse back into the semifinals.",Sport
126,"Villarreal stuns Bayern to reach Champions League semis



Villarreal stunned six-time European champion Bayern Munich to reach the Champions League semifinals for the first time in 16 years on Tuesday thanks to Samuel Chukwueze's 88th-minute goal that salvaged a 1-1 draw and a 2-1 aggregate victory.",Sport
127,"Match facts: Real Madrid v Chelsea (UEFA Champions League)	



Ahram Online is providing a live score coverage for Tuesday’s match between Real Madrid and Chelsea in the 2nd leg of the UEFA Champions League Quarterfinals",Sport
128,"Match facts: Bayern Munich v Villarreal (UEFA Champions League)	



Ahram Online provided a live score coverage for Tuesday’s match between Bayern Munich and Villarreal in the 2nd leg of the UEFA Champions League Quarterfinals",Sport
129,"Simeone calls for more respect amid criticism of Atletico style against City



Diego Simeone has called for critics of Atletico Madrid's style of play to show more respect ahead of the second leg of their Champions League quarter-final against Manchester City on Wednesday.",Sport
130,"Manchester United fans planning 'constant' protest against Glazers



Manchester United fans are planning a protest against the Glazer family, the owners of the English football giants, on Saturday.",Sport
131,"Atletico Madrid needs attack to start clicking again against City



This time, defense alone won't be enough to keep Atletico Madrid alive in the Champions League.",Sport
132,"Italy Serie A results & scorers (32nd matchday)



Follow Ahram Online's coverage of Italy Serie A matches of the 2021/2022 season (9/11 April)",Sport
133,"Spain La Liga scorers & results (31st matchday)



Follow Ahram Online's coverage of Spain La Liga matches of the 2021/2022 season (8/11 April)",Sport
134,"UEFA orders Atletico to close section over fan's Nazi salute



After UEFA investigated a fan's Nazi salute, Atletico Madrid has been ordered to close a 5,000-seat section of its stadium when it hosts Manchester City on Wednesday.",Sport
135,"Ancelotti: Real Madrid will not under-estimate Chelsea



Carlo Ancelotti said on Monday Real Madrid will not under-estimate Chelsea in the second leg of their Champions League quarter-final and dismissed Thomas Tuchel's suggestion the tie is over.",Sport
136,"Madrid authorities on alert ahead of Champions League games



Madrid authorities have reinforced security measures in the Spanish capital ahead of the arrival of thousands of English fans for Champions League matches this week.",Sport
137,"Walker feels Premier League title in 'City's hands' after Liverpool draw



Kyle Walker believes Manchester City can take heart from their draw with Premier League title rivals Liverpool.",Sport
138,"Bayern aim to 'punish' Villarreal's missed chances



Bayern Munich will look to ""punish"" Villarreal for their missed chances in the first leg and produce a ""brilliant"" display in the return at home on Tuesday to turn around their Champions League quarter-final.",Sport
139,"Bale in the spotlight ahead of Madrid's game against Chelsea



Just about everything has been going Real Madrid's way recently, in the Spanish league and the Champions League.",Sport
140,"Chelsea face 'incredibly high' challenge to stay in Champions League: Tuchel



Chelsea manager Thomas Tuchel said his team need a ""fantastic script"" to overturn a two-goal deficit against Real Madrid on Tuesday and qualify for the Champions League semi-finals.",Sport
141,Emery's Villarreal eye another giant-killing at Bayern Munich,Sport
142,"Germany Bundesliga results & scorers (29th matchday)



Follow Ahram Online's coverage of Germany Bundesliga matches of the 2021/2022 season (8/10 April)",Sport
143,"Klopp thrilled by 'wild' City-Liverpool draw



Liverpool boss Jurgen Klopp compared his side's thrilling 2-2 draw against Manchester City on Sunday to a slugfest between two prize fighters, saying neither side could afford to drop their guard for a single second.",Sport
144,"Man City's De Bruyne expects more twists in title race after Liverpool draw



Kevin De Bruyne warned Manchester City not to start dreaming of Premier League title glory after Sunday's thrilling 2-2 draw against Liverpool left them in pole position to retain the trophy.",Sport
145,"Napoli's title bid dented by Fiorentina defeat



Napoli's hopes of a first Serie A title since the days of Diego Maradona suffered a blow on Sunday after they slumped to a 3-2 home defeat to Europe-chasing Fiorentina.",Sport
146,"Police investigate Ronaldo over ""assault"" allegation



Police have launched an investigation after Cristiano Ronaldo allegedly ""assaulted"" a supporter by smashing a phone out of his hand following Manchester United's defeat against Everton on Saturday.",Sport
147,"English Premier League results & scorers (32nd matchday)



Follow Ahram Online's coverage of English Premier League matches of the 2021/2022 season (8/10 April)",Sport
148,"Manchester United do not deserve European football, says Rangnick



Ralf Rangnick says Manchester United do not deserve to play European football next season if they carry on performing in such a limp fashion as in Saturday's 1-0 defeat to Everton.",Sport
149,"Real Madrid win, Atletico lose ahead of Champions League deciders



Real Madrid consolidated its already commanding lead at the top of the Spanish league with a 2-0 win over Getafe on Saturday, ahead of a week in which it hopes to finish off Chelsea in the Champions League quarterfinals.",Sport
150,"Mbappe, Neymar score hat-tricks as PSG thump Clermont



Kylian Mbappe and Neymar both scored hat-tricks as Paris Saint-Germain romped to a 6-1 thrashing of struggling Clermont on Saturday to move closer to winning Ligue 1.",Sport
151,"Ronaldo sorry for 'outburst' after Man United loss to Everton



Cristiano Ronaldo apologized Saturday for what he described as an ``outburst'' after Manchester United's 1-0 loss to Everton in the Premier League.",Sport
152,"Inter move to within 1 point of Serie A leader with 1-0 win



Defending Serie A champion Inter Milan moved to within one point of league leader and city rival AC Milan with a 2-0 win against Hellas Verona on Saturday.",Sport
153,"Everton beat toothless Manchester United as Chelsea run riot



Relegation-threatened Everton earned a priceless win against misfiring Manchester United on Saturday as Chelsea hammered Southampton 6-0 on a potentially decisive day in the race for the Premier League top four.",Sport
