,Final_text,Category
90,call entry art isolation creativity time covid19 exhibit washington middle east institute middle east institute invite artist middle east north africa turkey diaspora submit artwork upcoming exhibition,Art
91,egyptian artist ahmed badrys work acquired le abattoir museum france badrys work first exhibited cairo international biennale 2019 one major prize,Art
92,artist around world pay tribute george floyd syrian artist aziz asmar said wanted send message solidarity mural,Art
93,call egyptbased woman artist favourite thing online exhibition exhibition organised cairo mashrabia gallery contemporary art,Art
94,trial trail egyptian artist mona marzouk creates handpainted window mural finnish agency installation launched 10 june part helsinki curatorial agency public windowsited public art commission,Art
95,egyptian artist mahmoud khaled participates online exhibition slovenia museum modern art titled viral selfportraits online exhibition created height covid19 pandemic slovenia capital people still selfisolating home,Art
96,afghan artist say discrimination racism george floyd tribute mural blast wall,Art
97,life stop waleed abdulkhalek cairo almasar gallery reopening public taking precautionary measure gallery opened door public exhibition commemorating pioneering third generation egyptian artist omar elnagdi 19312019,Art
98,cairo gypsum gallery participates italy fondamentas online artissima artissima part tunirbased fondamenta one italy ’ important contemporary art fair,Art
99,paris gallery seek inspiration ancient china hat enforce social distancing,Art
100,woman egypt sinai sew colourful bedouin design mask combat coronavirus,Art
101,art van add splash colour drab gaza life amid coronavirus,Art
102,dubai jameel art centre reopens public yesterday reopening contemporary art institution accord dubai culture museum government guideline coronavirus safety,Art
103,whats sanctuary aga khan museum invite art lover submit photo video exhibition new cultural global activity organised aga khan museum canada aim underline spirit human resilience,Art
104,adieu adam henein 19292020,Art
105,mahy khalifa art fund extends deadline scholarship egyptian student fund created memory mahy khalifa art lover collector,Art
106,louvre france ’ visited museum plan reopen door early july,Art
107,art dégypte launch youtube channel podcast company ’ mission promote egyptian art linking past,Art
108,art alert new podcast talk egyptian artist hany rashed antiquity ministry official emad zidan art dégypte ’ podcast feature separate discussion two men,Art
109,art palace hall named late renowned egyptian sculptor adam henein henein died 22 may 2020,Art
110,egyptian sculpture pioneer adam henein dy 91 apart great art significant heneins contribution egypt art scene founding aswan international sculpture symposium museum carry name,Art
111,mask mania 2020 egyptian visual artist use mask canvas arac art culture invited artist transform facemasks art piece,Art
112,venice architecture biennale postponed 2021 due pandemic,Art
113,songraffiti egyptian pediatrician nada salah amer spread joy hope drawing inspired song young pediatrician artist find inspiration wide range song um kalthoum fairouz egyptian project band amr diab alongside international hit,Art
114,miss 3d virtual tour egyptian museum exhibition 3d virtual tour many cultural location exhibition part culture gate website operating egypt culture ministry,Art
115,photo saudi graffiti artist klakh ’ portrait abandoned building saudi artist whose work recently drawn attention social medium paint portrait adorning street abandoned house saudi arabia,Art
116,banksys new artwork pay tribute healthworkers covid19 british nurse chosen superhero new banksy artwork,Art
117,van gogh picasso hopper guglielmi five famous painting expressing loneliness isolation pandemic imposing isolation experiencing emotion already captured painting master artist,Art
118,banksy ’ ‘ girl pierced eardrum ’ see update coronavirus era take vermeer ’ girl pearl earring banksy add blue surgical mask famed mural,Art
119,graffiti lockdown banksy ’ stencilled rat running amok around artist ’ bathroom staying home famed streetartist put away paint,Art
120,unsung hero swiss street artist pay tribute essential worker coronavirus disease doctor nurse well construction worker cashier among subject david perezs work,Art
121,united corona indian council cultural relation announces global visual art competition participant around world required send high resolution photo work 1 may 2020,Art
122,mahy khalifa art fund scholarship inaugurated mahy khalifa art fund art scholarship graduate study europe,Art
123,‘ stay home save life ’ google doodle provides tip help stop spread coronavirus doodle ’ outreach global tip keeping safe covid19 pandemic,Art
124,egyptian ramses younans painting among highlight sothebys online auction younans untitled painting sold gbp 93750 recent modern contemporary middle eastern auction,Art
125,art alert online exhibition music photography meeting egypt room art space exhibition organised room art space cafe,Art
126,communicate visuals senegal graffiti artist join fight coronavirus,Art
127,photo egyptian designer moustafa awads poster tackle coronavirus crisis awad released poster facebook page,Art
128,venice architecture biennale postponed august due coronavirus previously scheduled 23 may exhibition open 29 august,Art
129,france louvre stay shut amid staff fear virus spread,Art
130,painting sculpture become one egyptian artist mohamed ablas new solo exhibition year away sculpture renowned painter mohamad abla return art presenting work solo exhibition held samah art gallery,Art
131,saudi red sea film festival feature exhibition highlighting fellinipicasso connection exhibition fellini dreamt picasso launched festival march remain display jeddah five week,Art
132,two egyptian artist participate siteresponsive exhibition medina alula saudi arabia two egyptian visual artist showcase work group exhibition scheduled open 31 january,Art
133,three egyptian gallery participate art dubai 2020 largest regional international art fair scheduled held 2528 march,Art
134,new exhibition zamaleks art talk gallery tell story 20th century egyptian art 70 work 48 painter sculptor display giving clear overview egypt visual art history,Art
135,painting like film egyptian artist essam marouf nocturne absence exhibition marouf see work journey towards contemplative tranquility drawing musicality living visual memory,Art
136,egyptian artist heba helmi explores secret message calligraphy cairo nwt house helmis exhibition talisman opened 4 december run 15 january 2020,Art
137,context content sherif elazma ahmed shawkys dual exhibition cairo ’ sharjah gallery artist share interest space context affect experience highlighting contemplation antidote homogeny show titled inauguration,Art
138,egyptbased french cartoonist golo launch artistic residency luxor golo ’ brainchild residency invite egyptian international artist house gourna luxor,Art
139,submission deadline extended childrens visual art competition land turquoise competition organised cultural development fund,Art
140,art alert celebrating leonardo da vinci cairo lecture farid fadel evening interactive presentation da vincis art science led egyptian painter da vinci scholar farid fadel,Art
141,egyptian visual artist shahira kamal aim bring rhythm multitalented shahira kamal spoke ahram online ahead first solo art exhibition revenue fund music production,Art
142,programme eventpacked cairocomix festival kick 5th edition cairocomix festival include numerous activity showcasing egyptian international artist publisher comic,Art
143,darb 1718s cairographie festival join carte blanche exploring concept youth multiple state youth theme year cairographie following 2017 edition carried theme transition,Art
144,160 work leonardo da vinci attract hundred thousand visitor paris louvre exhibition da vincis retrospective opened 24 october continue 24 february 2020 paris louvre,Art
145,‘ samir rafi uncensored ’ pioneer egyptian surrealism exhibition painting exhibition titled ‘ samir rafi uncensored ’ currently display art talk capture creative journey pioneer egyptian surrealism,Art
146,art alert first solo exhibition egyptian artist ahmed lesi cairo mashrabia gallery,Art
147,two work father modern egyptian painting mahmoud said auction sotheby ’ ‘ apres la pluie ‘ eid aladha ’ part auction featuring number middle eastern artist later month,Art
148,cairo mashrabia gallery participate 154 african contemporary art fair london mashrabia gallery contemporary art showcasing work artist adel elsiwi carmine cartolano qarmqart heba abu elella mustafa elhusseiny,Art
149,el gouna film festival celebrates 100th birth anniversary novelist ihsan abdelquddous prominent egyptian journalist novelist born 1 january 1919 died 12 january 1990,Art
150,three egyptian artist exhibit work tea time lung exhibition soma marwan elgamal nada baraka soha elsirgany explore relationship human body narrative space,Art
151,bibliotheca alexandrina honour 500 year leonardo da vinci,Art
152,beirut art fair reinvigorates contemporary art scene region major regional international event beirut art fair run 1822 september,Art
153,breathe colour egyptian artist halla el shafei journey pastel halla el shafe recognised international pastel journal 2016 one top 10 pastel artist worldwide,Art
154,barry iverson ’ solo new tintera gallery subverts collective identity memory barry iverson ’ photograph perfect line vision tintera photography consultancy gallery space,Art
155,return cairo intl biennale visual art large plethora egyptian intl artist last edition taking place 2010 13th cairo international biennale visual art opened 10 june continue 10 august cairo opera house ground,Art
156,cairobased sudanese artist salah elmur look homecountry trapped political turmoil salah elmur present exhibition painting title “ photo cotton factory worker ” cairo new premise mashrabiya gallery,Art
157,egyptian artist kamal elfeki join summer idyll new york sculptor kamal elfeki join 18 artist summer showcase new york agora gallery,Art
158,cairo townhouse gallery forced close rawabet theatre space running since 2006 hosting countless play performance event year,Art
159,belgian artist win cairo biennales top prize award ceremony biennale awarded belgian artist joris van de moortel grand prize five artist opening ceremony 11 june,Art
160,art alert new space alexandria open exhibition collaboration soma art exhibition titled aləgzandreeə include work 12 artist alexandria,Art
161,art alert tahrir cultural centre host visual art group exhibition exhibition feature 11 young established egyptian artist,Art
162,omar alfayoumi 40 year cafés portraiture street life painting omar alfayoumi ’ panoramic exhibition held auc tahrir cultural centre,Art
163,salah elmur solo show mashrabia gallery international sudanese artist salah elmurs fourth exhibition cairo,Art
164,cairo international biennale return june eightyear hiatus 13th edition theme eye east bound feature artist 50 country,Art
165,art alert nada baraka solo show gypsum titled cosmic truth tale told baraka latest solo present new body work expands practice,Art
166,art alert data talk screening cimatheque event collaboration cairotronica netherlands impakt project,Art
167,lebanon vintage film poster question western cliche,Art
168,art alert artist talk youssef ragheb soma gallery ragheb discus current show smell like teen spirit examines masculinity social construct,Art
169,egyptian comic book toktok releasing new issue award winning comic released every 3 month featuring group different artist,Art
170,art alert photography exhibition kenya aesthetic open arcade gallery fashion photographer inspired kenya aesthetic capture photo series,Art
171,paris arab world institute set satellite branch northern france institute new branch set town tourcoing part lille conurbation northern france belgian border inside 1904 edifice protected former local swimming pool,Art
172,ali fahmi layer multiple influence first solo abstract painting exhibition present large painting selftaught artist ali fahmi first time selected painting practice last 30 year,Art
173,darb 1718 host 3rd le printempts de artiste charity exhibition banu diker sayed waked among 21 artist participating charity exhibition 116 artwork different medium,Art
174,one greatest achievement george bahgory egypt renowned artist museum painter sculptor cartoonist george bahgorys museum open saturday 1pm 6pm presenting large body artist work,Art
175,art alert soma gallery host exhibition fabric made artwork,Art
176,navigating silence huda lutfi talk latest exhibition cairo talk huda lutfi last week oriental hall focused solo exhibition held tahrir cultural center last february,Art
177,saroukhan come back intl caricature competition focusing egypt famed cartoonist reveals winning work exhibition work created international caricature competition cartoonist alexander saroukhan opened goethe instituts tahrir lounge monday 25 march,Art
178,art alert painting helmi eltouni neamat eldiwany cairo picasso art gallery two parallel exhibition open picasso art gallery week,Art
179,egypt sculptor mahmoud mokhtars three beggar go hammer first time mahmoud mokhtar ’ three beggar put sale sothebys orientalist middle eastern art week,Art
180,art alert watercolour painting inspired arabic calligraphy zamalek exhibition opened 3 march continues 7 march egyptian center cultural cooperation zamalek,Art
181,photo artist work 24th aswan international sculpture symposium edition feature 15 artist opened 19 january close 9 march,Art
182,carving life granite aswan intl sculpture symposium 24th edition aswan international sculpture symposium opened 19 january close 9 march,Art
183,world according swedish artist fabian edelstam speaking first solo exhibition cairo take place swedish artist reminisces today world history continues repeat,Art
184,conversation time basim magdys solo featuring magdy elgohary gypsum gallery egyptian awardwinning artist based switzerland basim magdy integrates artwork father second solo gypsum,Art
185,art alert bassem yousri ’ latest video work screen zawya bassem yousris film wardrobe man screened one day zawya followup discussion,Art
186,art alert swedish artist fabian edelstam show work gallery misr born stockholm living working paris since 1990 edelstams work private collection around world,Art
187,syrian artist souad mardam bey exhibition travelling came saw conquered art exhibition title veni vidi amavi play julius caesar famous latin phrase,Art
188,people flora egyptian artist soad abdel rasouls painting mashrabiya gallery virtual garden explores side beauty life run 14 february,Art
189,art alert photography exhibition celebrates traditional dance refugee woman egypt exhibition feature photo ahmed hamed organised tadamon council supporting refugee egypt,Art
190,art alert walid ebeid ’ painting exhibition open art talk exhibition people may know walid ebeid hope channel social taboo issue woman realistic depiction,Art
191,art alert artist talk featuring six photographer cairo photopia selection artist share work last november group exhibition tell,Art
192,art alert farouk hosny ’ painting picasso gallery artist abstract work capture landscape spirit egypt,Art
193,art alert tahrir cultural centre open exhibition huda lutfi sherin guirguis newly established centre inaugurate exhibition parallel,Art
194,eman hakim painting bring joy power cairo marginalia artist painting exhibition titled aljiwar hell art corner gallery 30 november 10 december,Art
195,art alert two exhibition cairo ’ ubuntu gallery gallery host show rifky elrazzaz halim yacoub,Art
196,art alert august ’ room duo exhibit cairo ’ soma gallery mona essam eldin nesreen mamdouh follow wake schizophrenic german artist august natterer examining conscious unconscious aspect mind,Art
197,art alert remembering fukushima japanese artist exhibition cairo ’ salah taher gallery exhibition feature work nine japanese artist present various face tohoku region japan,Art
198,art alert night rodent exhibition featuring 18 artist arcade gallery maadi group exhibition selection work open call arcade gallery,Art
199,painting photography pottery three cairo exhibition contemplate silence time rania fouad find link three cairo show taste time samir fouad ashraf reda ayman lotfi ’ joint show silence body group exhibition flower every meadow,Art
200,alternative history something else biennale probe society working human nature pakistani artist saks afridi egyptian artist rodeina fouad question human nature imagining different world second edition something else closed 15 december 45 day showcase,Art
201,art alert mohamed eldamarawy ’ painting alkahila gallery titled blue angel show feature damarawys latest painting egyptian social tradition,Art
202,art alert egypt ’ bahgoury hold solo show picasso gallery bahgoury one egypt prominent painter caricaturist active since 1950s,Art
203,art alert lecture impressionism postmodern art russian cultural centre dokki lecture part centre celebration 75 year diplomatic tie egypt russia,Art
204,art alert scarecrow exhibition cairo opera ’ salah taher hall exhibition run six day showcasing work 50 group member,Art
205,newspaperman stroke wellknown egyptian journalist gamal fahmy wear painter hat gamal fahmy launched first visual art exhibition form color cairo picasso art gallery sunday 9 december,Art
206,google doodle celebrates algerian artist baya mahieddine artist said left impact picaaso matisse writer andre breton,Art
207,farouk hosny art exhibition open tonight kuwait,Art
208,art alert graphic design student show project american university cairo exhibition showcase senior project graphic design programme,Art
209,art alert anomaly exhibition showcase auc photography student ’ work,Art
210,photo alahram hold twoday auction artwork antique auction includes work famous egyptian artist well antique furniture carpet item,Art
211,art alert lithuanian artist laima kreivytė soma gallery laima kreivytės project part exchange programme mass alex vilnius art academy,Art
212,art alert hany rasheds gypsum sculpture mashrabia gallery exhibition titled gypsum museum collection sculpture installation daily life egypt,Art
213,sun boat egyptian artist moataz nasreldin exhibit large installation abu dhabi sun boat exhibited abu dhabi 14 17 novemver inspired mankind ’ constant state motion infinite circle,Art
214,withered rose exhibition reflecting wilting beauty woman arab society exhibition painting emad abdelwahab opened dai gallery 13 november continues 23 november,Art
215,art alert marwa adel solo exhibition gallery misr marwa adels work deal identity social taboo,Art
216,something else happen darb 1718s director nasreldin cairo alternate biennale something else — biennale opened 1 november continues 15 december,Art
217,gypsum gallery showcase renowned egyptian artist ahmed morsi abu dhabi art fair gallery invited part focus section fair,Art
218,programme first edition cairo photo week cairo photo week pack 8 day photography bonanza first edition taking place heart downtown,Art
219,art alert artist talk marianne fahmy cairo cic marianne fahmy alexandrian artist working undocumented history,Art
220,photo reviving humanity sculpture unveiled sharm elsheikh youth forum,Art
221,photo opening second edition something else – biennale something else three opening night first took place last night darb 1718,Art
222,pattern play mai refkys retraced exhibition artist mai refkys latest exhibition held zamalek art gallery showcasing vibrant painting pattern figure,Art
223,egyptian sculptor win award china exhibition two sculptor fourth third prize international contest exhibition,Art
224,interview 2nd edition something else involving whole cairo art something else run 45 day connecting egyptian artist international scene interview rehab ragaee take ahram online behind scene upcoming 45day event,Art
225,egyptian visual artist chant avedissian dead 67 artist known pop painting cultural icon um kalthoum faten hamama well political figure,Art
226,programme event within cairo something else biennale exhibition surrounded talk workshop performance film screening take place different venue offbiennale,Art
227,art alert ahmed farids gate soul painting picasso gallery exhibition showcase farids latest work signature wideeyed figure,Art
228,art alert cairo photo week shake photography scene cairo photo week organised photopia run eight day,Art
229,art alert cairo comix festival mahmoud mokhtar museum next weekend festival largest platform comic egypt,Art
230,following johan bävmans touring photoexhibition fatherhood swedish photographer johan bävmans exhibition explores fatherhood 30 country landing egypt october,Art
231,art alert alexandrian dream art exhibition downtown cairo,Art
232,art talk gallery showcase egyptian artist cultural narrative exhibition kuwait exhibition feature 8 artist egypt group show 200 artist middle east,Art
233,egyptian artist nadia sirry jury peru intercontinental biennial indigenous art artist work also feature exhibition,Art
234,esraa zidans debut solo exhibition explores body positivity newly opened azad gallery azad art gallery opened september cairo promising large range exhibition first season,Art
235,rare 1932 mummy film poster poised hit record 1 million auction,Art
236,photo burullus coloured 5th symposium drawing wall boat,Art
237,darb 1718s something else biennale full list participating egyptian intl artist something else curated simon nijami artistic direction moataz nasr open 1 november various venue across egyptian capital,Art
238,art alert hazem elmistikawys paper cardboard sculpture cairo sharjah gallery established artist shortlisted jameel art prize 2011,Art
239,art alert hend samirs painting gallery misr hula hoop labyrinth samirs second solo debut medrar gallery rozanama prize,Art
240,cairo mashrabia gallery 6th round 154 contemporary african art fair london showcasing work adel alsiwi souad abdelrasoul ali abdelmohsen mashrabia gallery contemporary art gallery egypt participate fair,Art
241,duchess meghan make first royal solo outing art exhibition,Art
242,westminster abbey unveils queen window designed artist hockney,Art
243,photo second sculpture salon palace art sculpture salon second edition feature 57 artist,Art
244,art alert art talk gallery exhibit work late artist riad saied exhibition prominent artist include work alaa atef winner riad saied award,Art
245,art alert paper trail group exhibition open gypsum gallery exhibition present work paper 9 different artist,Art
246,art talk gallery launch el seed artist book october limited edition book documentation artist 2017 mural cairo,Art
247,art alert mapping possibility audiovisual experience zawya mapping possibility collective project seeking support experimental audio visual artist,Art
248,character symbol resurrecting egypt infamous serial killer rayya sakina art artist habby khalil revisits egypt notorious serial killer 11 image creative photography exhibition,Art
249,art alert second edition cairo ’ offbiennale show exhibit something else biennale curated simon nijami run month two week several venue,Art
250,egypt win london design biennale award,Art
251,art alert performance art engy mohsen roznama studio,Art
252,message serenity collector share art banksy berlin gallery exhibition work one world famous street artist continues berlin january 2019,Art
253,egyptian arab artist featured sotheby ’ kahlil gibranthemed exhibition nine egyptian artist featured exhibition echo renowned lebanese poet kahlil gibran theme peace tolerance,Art
254,photo chinese authority demolish ai weiweis beijing studio without notice,Art
255,art alert cairo photopia host talk upper egypt photography project talk delivered street photographer mahmoud hawary,Art
256,discussion australian indigenous art cairo wanas discussion organised australian embassy feature australian speaker m leeann buckskin egyptian art theatre producer mohamed hashem,Art
257,search arab comic exhibition southern french city angoulême exhibition new arab comic angoulême opened january continue november year,Art
258,google doodle celebrates late lebanese painter sculptor saloua raouda choucair saloua raouda choucair born 24 june 1916 died 26 january 2017,Art
259,art alert work four woman showcased favorite thing 3 exhibition kamila bassioni rania atef afrodite w elseesy malkia hassan present work made upcycled material,Art
260,art alert homage late writer albert cossery cairo townhouse rawabet egyptianborn french writer born 3 november 1913 died 22 june 2008,Art
